一	Uno	ichi, itsu	hito-tsu
例	Ejemplo	rei	tato-eru
便	Conveniencia	ben o bin	tayo-ri
信	Confiar	shin
倉	Almacén	sō	kura
候	Clima	kō
借	Pedir prestado, alquilar	shaku	ka-riru
停	Parada, interrupción	tei
健	Salud, saludable	ken
側	Lado	soku	kawa
働	Trabajar	dō	hatara-ku
億	Cien millones	oku
兆	Presagio, billón	chō	kiza-shi
児	Recién nacido	ji o ni
共	Ambos, juntos	kyō	tomo
兵	Soldado	hei o hyō	tsuwamono
典	Escrito, código	ten
冷	Frío(objeto)	rei	tsume-tai o hi-eru o sa-meru
初	Comienzo	sho	hatsu o haji-me
別	Separar	betsu	waka-reru
利	Ser efectivo	ri
刷	Impreso	satsu	su-ru
副	Vice-, duplicado	fuku
功	Logro, mérito	kō
加	Añadir, sumar	ka	kuwa-eru
努	Esfuerzo	do	tsuto-meru
労	Trabajo duro	rō	negira-u
勇	Estar en buen estado	yū	isa-mu
包	Envolver, empaquetar	hō	tsutsu-mu
卒	Graduación	sotsu
協	Colaboración	kyō
単	Sencillo	tan
博	Amplio, abundante	haku
印	Marca, signo	in	shirushi
参	Asistir, ir [hum]	san	mai-ru
史	Historia	shi
司	Dirigir, gobernar	shi
各	Cada uno	kaku	ono-ono
告	Informar, revelar	koku	tsu-geru
周	Circunferencia	shū	mawa-ri
唱	Recitar	shō	tona-eru
喜	Divertirse	ki	yoroko-bu
器	Vasija, envase	ki	utsuwa
囲	Rodear	i	kako-u
固	Endurecer, fijar	ko	kata-maru
型	Modelo, patrón	kei	kata
堂	Salón	dō
塩	Sal	en	shio
士	Samurai	shi
変	Cambiar, alterar	hen	ka-waru
夫	Esposo	fu fuu bu	otto
失	Perder	shitsu	ushina-u
好	Gustar, preferir	kō	su-ku o kono-mu
季	Estación del año	ki
孫	Nieto	son	mago
完	Perfección, final	kan
官	Gobierno gubernamental	kan
害	Desastre, obstáculo	gai
察	Adivinar	satsu
巣	Nido	sō	su
差	Diferencia	sa
希	Deseo, raro	ki	mare
席	Asiento	seki
帯	Faja	tai	obi
底	Al fondo	tei	soko
府	Municipio	fu
康	Tranquilo	kō
建	Construir	ken	ta-teru
径	Diámetro	kei
徒	Compañero	to
得	Conseguir, obtener	toku	e-ru
必	Necesariamente	hitsu	kanara-zu
念	Deseo, pensamiento	nen
愛	Amor　	ai
成	Llegar a ser, hacerse	sei	na-ru
戦	Guerra, pelear	sen	ikusa o tataka-u
折	Quebrar	setsu	o-ru
挙	Levantar, poner un ejemplo	kyo	a-geru
改	Cambiar, reformar	kai	arata-meru
救	Rescatar, salvar	kyū	suku-u
敗	Fallo, ser derrotado	hai	yabu-reru
散	Esparcir	san	chi-ru
料	Material, precio	ryō
旗	Bandera	ki	hata
昨	Previo	saku
景	Paisaje, vista	kei
最	Prefijo superlativo	sai	mo o motto-mo
望	Desear, esperar	bō	nozo-mu
未	Aún no, todavía	mi	ima-da
末	Fin	matsu	sue
札	Etiqueta	satsu	fuda
材	Talento	zai
束	Manojo, racimo	soku	taba or tsuka
松	Pino	shō	matsu
果	Fruto, resultado, llevar a cabo	ka	ha-tasu
栄	Prosperar, florecer	ei	saka-eru
案	Plan, idea, sugerencia	an
梅	Ciruela	bai	ume
械	Artículo, instrumento	kai
極	Polo terrestre o magnético	kyoku	kiwa-meru
標	Marca, signo	hyō
機	Máquina, telar	ki	hata
欠	Romperse	ketsu	ka-keru
歴	Pasar tiempo	reki
残	Quedar, dejar	zan	noko-ru
殺	Matar, asesinar	satsu	koro-su
毒	Veneno	doku
氏	Apellido	shi	uji
民	Gente	min	tami
求	Pedir, demandar	kyū	moto-mu
治	Gobernar	chi or ji	osa-meru o nao-ru
法	Método, ley	hō
泣	Llorar, cantar(pájaros)	kyū	na-ku
浅	Poco profundo	sen	asa-i
浴	Bañarse	yoku	abi-ru
清	Puro	sei or shō	kiyo-raka
満	Estar lleno	man	mi-chiru
漁	Pesca	ryō o gyō	asa-ru
灯	Lámpara, luz	tō	hi
無	Nada	mu or bu	na-i
然	Así, de esa forma	zen o nen	shika-shi
焼	Quemar, asar	shō	ya-ku
照	Iluminar	shō	te-rasu
熱	Caliente	netsu	atsu-i
牧	Pastorear	boku	maki
特	Especial	toku
産	Dar a luz	san	u-mu
的	Objetivo, propósito	teki	mato
省	Ministerio del gobierno	sho o sei	habu-ku
祝	Celebrar	shuku	iwa-u
票	Voto	hyō
種	Semilla, tipo, clase	shu	tane
積	Apilar, acumular	seki	tsu-mu
